SampleID,GID
SEEDGWAS1,273
SEEDGWAS10,5509
SEEDGWAS1000,27004
SEEDGWAS1001,27012
SEEDGWAS1003,27086
SEEDGWAS1004,27110
SEEDGWAS1005,27119
SEEDGWAS1006,27507
SEEDGWAS1007,27713
SEEDGWAS1008,27815
SEEDGWAS1009,27839
SEEDGWAS101,8190
SEEDGWAS1011,27908
SEEDGWAS1012,27915
SEEDGWAS1014,27993
SEEDGWAS1015,28031
SEEDGWAS1017,28318
SEEDGWAS1019,28477
SEEDGWAS1020,28482
SEEDGWAS1022,28487
SEEDGWAS1023,28490
SEEDGWAS1024,28492
SEEDGWAS1025,28537
SEEDGWAS1026,28542
SEEDGWAS1027,28558
SEEDGWAS1028,28789
SEEDGWAS1029,28825
SEEDGWAS103,8198
SEEDGWAS1030,28863
SEEDGWAS1031,28883
SEEDGWAS1032,28886
SEEDGWAS1033,28897
SEEDGWAS1034,28906
SEEDGWAS1035,28985
SEEDGWAS1036,29273
SEEDGWAS1037,29282
SEEDGWAS1039,29582
SEEDGWAS104,8199
SEEDGWAS1040,29585
SEEDGWAS1041,29589
SEEDGWAS1042,29619
SEEDGWAS1043,29623
SEEDGWAS1044,29624
SEEDGWAS1045,30079
SEEDGWAS1048,30084
SEEDGWAS1049,30096
SEEDGWAS105,8237
SEEDGWAS1050,30097
SEEDGWAS1051,30108
SEEDGWAS1053,30146
SEEDGWAS1054,30149
SEEDGWAS1055,30150
SEEDGWAS1056,30158
SEEDGWAS1057,30159
SEEDGWAS1058,30161
SEEDGWAS1059,30189
SEEDGWAS106,8294
SEEDGWAS1060,30196
SEEDGWAS1061,30199
SEEDGWAS1062,30200
SEEDGWAS1063,30205
SEEDGWAS1064,30212
SEEDGWAS1065,30213
SEEDGWAS1066,30218
SEEDGWAS1067,30225
SEEDGWAS1068,30228
SEEDGWAS1069,30232
SEEDGWAS107,8343
SEEDGWAS1070,30233
SEEDGWAS1071,30235
SEEDGWAS1073,30242
SEEDGWAS1074,30256
SEEDGWAS1075,30267
SEEDGWAS1076,30270
SEEDGWAS1077,30273
SEEDGWAS1078,30274
SEEDGWAS1081,30285
SEEDGWAS1082,30288
SEEDGWAS1083,30297
SEEDGWAS1084,30300
SEEDGWAS1085,2853
SEEDGWAS1086,3314
SEEDGWAS1087,3684
SEEDGWAS1088,3698
SEEDGWAS1089,5339
SEEDGWAS1090,5499
SEEDGWAS1091,5884
SEEDGWAS1092,7945
SEEDGWAS1094,8409
SEEDGWAS1095,8647
SEEDGWAS1096,8692
SEEDGWAS1097,8923
SEEDGWAS1098,9848
SEEDGWAS1099,11030
SEEDGWAS1100,11736
SEEDGWAS1101,11737
SEEDGWAS1102,12023
SEEDGWAS1103,12039
SEEDGWAS1104,12047
SEEDGWAS1105,12488
SEEDGWAS1106,15997
SEEDGWAS1107,17558
SEEDGWAS1108,19327
SEEDGWAS1109,19338
SEEDGWAS111,8355
SEEDGWAS1110,20674
SEEDGWAS1111,21866
SEEDGWAS1113,23547
SEEDGWAS1114,23617
SEEDGWAS1115,23866
SEEDGWAS1117,23915
SEEDGWAS1118,24099
SEEDGWAS112,8395
SEEDGWAS1120,24358
SEEDGWAS1121,24450
SEEDGWAS1122,24451
SEEDGWAS1124,24623
SEEDGWAS1125,24628
SEEDGWAS1126,24966
SEEDGWAS1128,25378
SEEDGWAS113,8805
SEEDGWAS1130,25395
SEEDGWAS1131,25407
SEEDGWAS1133,25453
SEEDGWAS1134,25485
SEEDGWAS1135,26314
SEEDGWAS1136,26337
SEEDGWAS1137,26476
SEEDGWAS1138,26732
SEEDGWAS114,8809
SEEDGWAS1140,27005
SEEDGWAS1141,27036
SEEDGWAS1142,27041
SEEDGWAS1143,27075
SEEDGWAS1144,27416
SEEDGWAS1145,27492
SEEDGWAS1146,27501
SEEDGWAS1147,27830
SEEDGWAS1148,27852
SEEDGWAS115,8829
SEEDGWAS1150,27909
SEEDGWAS1151,27916
SEEDGWAS1152,27933
SEEDGWAS1153,28321
SEEDGWAS1154,28322
SEEDGWAS1156,28862
SEEDGWAS1157,28870
SEEDGWAS1158,28876
SEEDGWAS1159,28880
SEEDGWAS116,8833
SEEDGWAS1160,28881
SEEDGWAS1161,28896
SEEDGWAS1164,30262
SEEDGWAS1165,276
SEEDGWAS1166,500
SEEDGWAS1167,844
SEEDGWAS1168,1466
SEEDGWAS1169,1468
SEEDGWAS117,8844
SEEDGWAS1170,1481
SEEDGWAS1171,1494
SEEDGWAS1172,1559
SEEDGWAS1173,1561
SEEDGWAS1174,1680
SEEDGWAS1175,1823
SEEDGWAS1176,1935
SEEDGWAS1177,1961
SEEDGWAS1178,1966
SEEDGWAS1179,2193
SEEDGWAS118,8903
SEEDGWAS1180,2233
SEEDGWAS1182,2788
SEEDGWAS1183,3451
SEEDGWAS1184,5530
SEEDGWAS1185,5725
SEEDGWAS1186,5774
SEEDGWAS1187,5800
SEEDGWAS1188,5809
SEEDGWAS1189,5926
SEEDGWAS119,8910
SEEDGWAS1191,5977
SEEDGWAS1192,6283
SEEDGWAS1193,6475
SEEDGWAS1194,6476
SEEDGWAS1195,6477
SEEDGWAS1196,6483
SEEDGWAS1197,6684
SEEDGWAS1198,6688
SEEDGWAS1199,6690
SEEDGWAS12,5519
SEEDGWAS120,8917
SEEDGWAS1200,6693
SEEDGWAS1201,6748
SEEDGWAS1202,6749
SEEDGWAS1203,6750
SEEDGWAS1204,6776
SEEDGWAS1205,6778
SEEDGWAS1206,6782
SEEDGWAS1207,6783
SEEDGWAS1208,6790
SEEDGWAS1209,6795
SEEDGWAS121,8972
SEEDGWAS1210,6797
SEEDGWAS1211,6933
SEEDGWAS1212,6957
SEEDGWAS1213,7086
SEEDGWAS1214,7088
SEEDGWAS1215,7157
SEEDGWAS1216,7218
SEEDGWAS1218,7251
SEEDGWAS1219,7257
SEEDGWAS122,9003
SEEDGWAS1220,7258
SEEDGWAS1221,7283
SEEDGWAS1222,7344
SEEDGWAS1223,7345
SEEDGWAS1224,7346
SEEDGWAS1225,7364
SEEDGWAS1226,7391
SEEDGWAS1227,7394
SEEDGWAS1228,7406
SEEDGWAS123,9051
SEEDGWAS1230,7458
SEEDGWAS1233,7466
SEEDGWAS1234,7467
SEEDGWAS1235,7468
SEEDGWAS1236,7500
SEEDGWAS1237,7503
SEEDGWAS1238,7506
SEEDGWAS1239,7543
SEEDGWAS124,9354
SEEDGWAS1240,7559
SEEDGWAS1241,7616
SEEDGWAS1242,7627
SEEDGWAS1244,7630
SEEDGWAS1246,7639
SEEDGWAS1247,7662
SEEDGWAS1248,7673
SEEDGWAS1249,7684
SEEDGWAS125,9368
SEEDGWAS1250,7685
SEEDGWAS1254,8134
SEEDGWAS1255,8187
SEEDGWAS1256,8201
SEEDGWAS1257,8263
SEEDGWAS1258,8265
SEEDGWAS1259,8319
SEEDGWAS1260,8339
SEEDGWAS1261,8344
SEEDGWAS1262,8354
SEEDGWAS1263,8391
SEEDGWAS1264,8908
SEEDGWAS1265,8916
SEEDGWAS1266,8955
SEEDGWAS1267,9215
SEEDGWAS1268,9347
SEEDGWAS1269,9372
SEEDGWAS127,9406
SEEDGWAS1270,9373
SEEDGWAS1271,9395
SEEDGWAS1272,9399
SEEDGWAS1274,9431
SEEDGWAS1277,9521
SEEDGWAS1278,9526
SEEDGWAS1279,9538
SEEDGWAS128,9458
SEEDGWAS1280,9540
SEEDGWAS1281,9546
SEEDGWAS1282,9551
SEEDGWAS1283,9555
SEEDGWAS1284,9607
SEEDGWAS1285,9616
SEEDGWAS1286,9622
SEEDGWAS1287,9623
SEEDGWAS1289,9678
SEEDGWAS129,9502
SEEDGWAS1290,9758
SEEDGWAS1291,9769
SEEDGWAS1293,9798
SEEDGWAS1294,9856
SEEDGWAS1295,9857
SEEDGWAS1296,10328
SEEDGWAS1297,10367
SEEDGWAS1298,10368
SEEDGWAS1299,10373
SEEDGWAS13,5528
SEEDGWAS130,9510
SEEDGWAS1300,11081
SEEDGWAS1301,11183
SEEDGWAS1302,11449
SEEDGWAS1303,11629
SEEDGWAS1304,11754
SEEDGWAS1305,11771
SEEDGWAS1306,11784
SEEDGWAS1307,11786
SEEDGWAS1308,11789
SEEDGWAS1309,11812
SEEDGWAS131,9512
SEEDGWAS1310,11817
SEEDGWAS1311,11821
SEEDGWAS1312,11827
SEEDGWAS1313,11828
SEEDGWAS1316,11835
SEEDGWAS1317,11904
SEEDGWAS132,9522
SEEDGWAS1320,11988
SEEDGWAS1321,11993
SEEDGWAS1322,11995
SEEDGWAS1323,11997
SEEDGWAS1324,11999
SEEDGWAS1325,12001
SEEDGWAS1326,12002
SEEDGWAS1327,12008
SEEDGWAS1329,12019
SEEDGWAS133,9545
SEEDGWAS1330,12048
SEEDGWAS1332,12087
SEEDGWAS1333,12090
SEEDGWAS1334,12184
SEEDGWAS1335,12332
SEEDGWAS1336,12337
SEEDGWAS1337,12338
SEEDGWAS1338,12350
SEEDGWAS134,9570
SEEDGWAS1340,12355
SEEDGWAS1342,12363
SEEDGWAS1344,12389
SEEDGWAS1346,12462
SEEDGWAS1347,12464
SEEDGWAS1348,12472
SEEDGWAS1349,12479
SEEDGWAS135,9603
SEEDGWAS1350,12491
SEEDGWAS1351,12492
SEEDGWAS1352,12500
SEEDGWAS1353,12518
SEEDGWAS1355,12527
SEEDGWAS1356,12539
SEEDGWAS1357,12546
SEEDGWAS1358,12553
SEEDGWAS1359,12562
SEEDGWAS136,9611
SEEDGWAS1360,12565
SEEDGWAS1361,12596
SEEDGWAS1362,12600
SEEDGWAS1363,12603
SEEDGWAS1364,12604
SEEDGWAS1365,12627
SEEDGWAS1366,12736
SEEDGWAS1367,12737
SEEDGWAS1368,12753
SEEDGWAS1369,12763
SEEDGWAS137,9613
SEEDGWAS1370,12769
SEEDGWAS1371,12771
SEEDGWAS1372,12781
SEEDGWAS1373,12848
SEEDGWAS1374,12862
SEEDGWAS1375,12864
SEEDGWAS1376,12891
SEEDGWAS1377,12913
SEEDGWAS1378,12914
SEEDGWAS1379,12916
SEEDGWAS138,9676
SEEDGWAS1380,12921
SEEDGWAS1381,12945
SEEDGWAS1383,12974
SEEDGWAS1384,12980
SEEDGWAS1385,12981
SEEDGWAS1386,12985
SEEDGWAS1387,12987
SEEDGWAS1388,13016
SEEDGWAS1389,13018
SEEDGWAS139,9773
SEEDGWAS1390,13023
SEEDGWAS1391,13034
SEEDGWAS1392,13041
SEEDGWAS1393,13070
SEEDGWAS1394,13074
SEEDGWAS1395,13087
SEEDGWAS1398,13109
SEEDGWAS14,5529
SEEDGWAS1400,13123
SEEDGWAS1401,13129
SEEDGWAS1402,13130
SEEDGWAS1403,13131
SEEDGWAS1404,13132
SEEDGWAS1406,13896
SEEDGWAS1407,14172
SEEDGWAS1408,14750
SEEDGWAS1409,14776
SEEDGWAS141,9801
SEEDGWAS1410,14787
SEEDGWAS1411,14888
SEEDGWAS1412,14958
SEEDGWAS1413,14979
SEEDGWAS1414,15007
SEEDGWAS1415,15019
SEEDGWAS1416,15164
SEEDGWAS1417,15170
SEEDGWAS1418,15202
SEEDGWAS142,9803
SEEDGWAS1421,15280
SEEDGWAS1422,15337
SEEDGWAS1423,15340
SEEDGWAS1424,15351
SEEDGWAS1425,15409
SEEDGWAS1427,15438
SEEDGWAS1428,15463
SEEDGWAS1429,15822
SEEDGWAS143,9806
SEEDGWAS1430,15920
SEEDGWAS1431,15947
SEEDGWAS1432,15955
SEEDGWAS1434,15971
SEEDGWAS1435,15974
SEEDGWAS1436,16013
SEEDGWAS1437,16021
SEEDGWAS1438,16055
SEEDGWAS1439,16058
SEEDGWAS144,10321
SEEDGWAS1440,16061
SEEDGWAS1441,16062
SEEDGWAS1442,16488
SEEDGWAS1443,16497
SEEDGWAS1444,16498
SEEDGWAS1445,16501
SEEDGWAS1446,16515
SEEDGWAS1447,16628
SEEDGWAS1448,16630
SEEDGWAS1449,16634
SEEDGWAS145,10374
SEEDGWAS1450,16640
SEEDGWAS1452,16690
SEEDGWAS1453,16696
SEEDGWAS1455,16725
SEEDGWAS1456,16729
