GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G10031,SEEDGWAS1854,CIMMYTMA-002685,1953-07-01,3,1,447,-22.200732,-54.828953,56.9860889788868
G10046,SEEDGWAS3833,CIMMYTMA-002697,,12,10,982,-20.53333333,-47.4,61.5256269395436
G10054,SEEDGWAS3419,NA,NA,NA,NA,NA,NA,NA,NA
G10068,SEEDGWAS1855,CIMMYTMA-002708,1946-07-01,7,5,339,-23.916667,-51.866667,60.3177534803072
G10094,SEEDGWAS1856,CIMMYTMA-002709,1946-07-01,7,5,339,-23.916667,-51.866667,60.3177534803072
G10101,SEEDGWAS1857,CIMMYTMA-002714,1947-01-01,3,1,743,-23.55,-51.483333,60.3504029670796
G10108,SEEDGWAS1858,CIMMYTMA-002721,1947-01-01,3,1,743,-23.55,-51.483333,60.3504029670796
G10121,SEEDGWAS1859,CIMMYTMA-002724,,NA,NA,800,-23.55,-46.633333,64.0104963134085
G10268,SEEDGWAS2396,NA,NA,NA,NA,NA,NA,NA,NA
G10270,SEEDGWAS1860,CIMMYTMA-002728,,NA,NA,732,-24,-51,61.0107686099575
G10282,SEEDGWAS1862,CIMMYTMA-002735,,NA,NA,732,-24,-51,61.0107686099575
G10299,SEEDGWAS1863,CIMMYTMA-002738,,NA,NA,732,-24,-51,61.0107686099575
G10314,SEEDGWAS3420,CIMMYTMA-002770,,NA,NA,771,-23.55,-46.63333333,64.0104960589893
G10321,SEEDGWAS144,CIMMYTMA-002773,1954-08-03,11,9,735,-24.11666667,-49.33333333,62.3270963665608
G10325,SEEDGWAS1864,CIMMYTMA-002776,1946-07-01,7,5,337,-23.916667,-51.866667,60.3177534803072
G10328,SEEDGWAS1296,CIMMYTMA-002781,1954-01-01,NA,NA,42,7.770415,-66.953303,30.5282544317294
G10336,SEEDGWAS774,NA,NA,NA,NA,NA,NA,NA,NA
G10353,SEEDGWAS5212,NA,NA,NA,NA,NA,NA,NA,NA
G10367,SEEDGWAS1297,NA,NA,NA,NA,NA,NA,NA,NA
G10368,SEEDGWAS1298,NA,NA,NA,NA,NA,NA,NA,NA
G10373,SEEDGWAS1299,NA,NA,NA,NA,NA,NA,NA,NA
G10374,SEEDGWAS145,NA,NA,NA,NA,NA,NA,NA,NA
G10375,SEEDGWAS3422,NA,NA,NA,NA,NA,NA,NA,NA
G10376,SEEDGWAS3423,NA,NA,NA,NA,NA,NA,NA,NA
G10378,SEEDGWAS2397,NA,NA,NA,NA,NA,NA,NA,NA
G10379,SEEDGWAS3424,NA,NA,NA,NA,NA,NA,NA,NA
G10394,SEEDGWAS3425,NA,NA,NA,NA,NA,NA,NA,NA
G10395,SEEDGWAS2398,NA,NA,NA,NA,NA,NA,NA,NA
G10397,SEEDGWAS147,NA,NA,NA,NA,NA,NA,NA,NA
G10426,SEEDGWAS5213,NA,NA,NA,NA,NA,NA,NA,NA
G10443,SEEDGWAS3836,CIMMYTMA-002860,1965-01-01,4,2,208,-12.43333333,-39.21666667,64.0435549121889
G10547,SEEDGWAS3182,CIMMYTMA-002862,1965-01-01,4,2,208,-12.43333333,-39.21666667,64.0435549121889
G106,SEEDGWAS3371,NA,NA,NA,NA,NA,NA,NA,NA
G10602,SEEDGWAS148,CIMMYTMA-002863,1965-01-01,4,2,208,-12.43333333,-39.21666667,64.0435549121889
G10666,SEEDGWAS3837,CIMMYTMA-002869,1965-01-01,4,2,231,-12.438138,-39.505062,63.7903014159478
G10739,SEEDGWAS3838,CIMMYTMA-002882,1965-01-01,12,10,723,-11.3,-41.86666667,61.1703675929894
G10749,SEEDGWAS3426,CIMMYTMA-002888,1965-01-01,4,2,392,-11.55,-39.26666667,63.594821879438
G10793,SEEDGWAS3427,CIMMYTMA-002893,1965-01-01,4,2,392,-11.55,-39.26666667,63.594821879438
G10842,SEEDGWAS149,CIMMYTMA-002899,1965-01-01,5,3,9,-10.28333333,-36.6,65.4418081683177
G10843,SEEDGWAS3839,CIMMYTMA-002915,1965-01-01,2,12,429,-8.066666667,-39.1,62.2491809946584
G10870,SEEDGWAS2401,CIMMYTMA-002920,1965-01-01,1,11,390,-8.107378,-39.57391,61.8330838496266
G10877,SEEDGWAS3183,CIMMYTMA-002945,1965-01-01,2,12,225,-6.8,-38.23333333,62.5448859274193
G10878,SEEDGWAS150,CIMMYTMA-002952,1965-01-01,2,12,257,-6.996793,-37.295403,63.4867291081884
G10880,SEEDGWAS3184,CIMMYTMA-002953,1965-01-01,3,1,560,-8.083333333,-37.26666667,63.9354121106477
G10900,SEEDGWAS3428,CIMMYTMA-002956,1965-01-01,4,2,658,-8.416666667,-37.06666667,64.2513919407534
G10909,SEEDGWAS1866,CIMMYTMA-002978,1965-01-01,3,1,43,-3.81233,-38.693975,61.0269551499841
G10910,SEEDGWAS1867,CIMMYTMA-002979,1965-01-01,3,1,43,-3.81233,-38.693975,61.0269551499841
G10949,SEEDGWAS1868,CIMMYTMA-002980,1965-01-01,3,1,43,-3.81233,-38.693975,61.0269551499841
G10972,SEEDGWAS3185,CIMMYTMA-002983,1965-01-01,3,1,141,-4.216666667,-39.2,60.6937780886134
G10973,SEEDGWAS3186,CIMMYTMA-002997,1965-01-01,2,12,178,-5.583333333,-39.36666667,61.035128585982
G11,SEEDGWAS588,CIMMYTMA-000001,1960-01-01,7,5,1145,18.58333333,-98.83333333,3.1607402200364
G11004,SEEDGWAS1869,CIMMYTMA-002998,1965-01-01,3,1,498,-5.45,-39.71666667,60.6606588554761
G11024,SEEDGWAS3187,CIMMYTMA-003005,1965-01-01,2,12,276,-5.166666667,-40.66666667,59.6736725860979
G11030,SEEDGWAS1099,CIMMYTMA-003015,1965-01-01,12,10,1050,-15,-49,56.9679489921989
G11045,SEEDGWAS1870,CIMMYTMA-003016,1965-01-01,12,10,291,-14.63425,-52.31735,54.0481173131607
G11079,SEEDGWAS1871,NA,NA,NA,NA,NA,NA,NA,NA
G11080,SEEDGWAS1872,NA,NA,NA,NA,NA,NA,NA,NA
G11081,SEEDGWAS1300,NA,NA,NA,NA,NA,NA,NA,NA
G11086,SEEDGWAS2402,CIMMYTMA-003043,1978-03-08,NA,NA,41,-34.25,-56.75,64.7153168143198
G11132,SEEDGWAS1873,NA,NA,NA,NA,NA,NA,NA,NA
G11133,SEEDGWAS1874,NA,NA,NA,NA,NA,NA,NA,NA
G11153,SEEDGWAS775,NA,NA,NA,NA,NA,NA,NA,NA
G11172,SEEDGWAS3188,NA,NA,NA,NA,NA,NA,NA,NA
G11182,SEEDGWAS776,NA,NA,NA,NA,NA,NA,NA,NA
G11183,SEEDGWAS1301,NA,NA,NA,NA,NA,NA,NA,NA
G11184,SEEDGWAS151,NA,NA,NA,NA,NA,NA,NA,NA
G11189,SEEDGWAS1877,NA,NA,NA,NA,NA,NA,NA,NA
G11194,SEEDGWAS1878,NA,NA,NA,NA,NA,NA,NA,NA
G11215,SEEDGWAS1879,NA,NA,NA,NA,NA,NA,NA,NA
G11268,SEEDGWAS1880,NA,NA,NA,NA,NA,NA,NA,NA
G11281,SEEDGWAS1881,NA,NA,NA,NA,NA,NA,NA,NA
G11298,SEEDGWAS1882,NA,NA,NA,NA,NA,NA,NA,NA
G11381,SEEDGWAS1883,NA,NA,NA,NA,NA,NA,NA,NA
G11386,SEEDGWAS2740,NA,NA,NA,NA,NA,NA,NA,NA
G11389,SEEDGWAS2741,CIMMYTMA-003108,1954-01-01,5,3,2571,5.316666667,-73.81666667,25.1589169900247
G11394,SEEDGWAS2742,NA,NA,NA,NA,NA,NA,NA,NA
G11401,SEEDGWAS612,CIMMYTMA-003176,1954-01-01,10,8,1535,4.516666667,-75.63333333,23.9877571904336
G11402,SEEDGWAS613,CIMMYTMA-003177,1954-01-01,11,9,949,3.507372,-76.476108,23.8427472535706
G11412,SEEDGWAS152,CIMMYTMA-003190,1954-01-01,8,6,30,8.316666667,-75.15,22.6547515946719
G11417,SEEDGWAS777,CIMMYTMA-003192,1954-01-01,8,6,61,10.775847,-74.83549,22.1069090065764
G11423,SEEDGWAS778,CIMMYTMA-003194,1967-01-01,8,6,4,10.392495,-74.874618,22.1843902876957
G11437,SEEDGWAS153,CIMMYTMA-003195,1954-01-01,8,6,13,9.75,-74.81666667,22.4450190379613
G11447,SEEDGWAS2743,NA,NA,NA,NA,NA,NA,NA,NA
G11448,SEEDGWAS2744,NA,NA,NA,NA,NA,NA,NA,NA
G11449,SEEDGWAS1302,CIMMYTMA-003201,1954-01-01,9,7,1039,8.444639,-73.280557,24.3385396714544
G11460,SEEDGWAS155,CIMMYTMA-003207,1954-01-01,8,6,996,7.617716,-72.643105,25.2369987001701
G11461,SEEDGWAS614,CIMMYTMA-003209,1954-01-01,9,7,1248,8.238297,-73.345161,24.3536025950676
G11474,SEEDGWAS156,CIMMYTMA-003229,1959-07-02,8,6,5,20.32,-96.87,3.22751515531345
G11489,SEEDGWAS157,CIMMYTMA-003231,1959-07-02,8,6,22,20.385828,-97.030722,3.33775450883404
G11490,SEEDGWAS1884,CIMMYTMA-003233,1959-07-02,8,6,21,20.55,-97.13,3.5250466802268
G11490,SEEDGWAS4383,CIMMYTMA-003233,1959-07-02,8,6,21,20.55,-97.13,3.5250466802268
G11496,SEEDGWAS158,CIMMYTMA-003234,1959-07-03,8,6,208,20.46666667,-97.33333333,3.51923269278975
G11497,SEEDGWAS3429,CIMMYTMA-003235,1978-03-11,NA,NA,41,-34.25,-56.75,64.7153168143198
G11501,SEEDGWAS160,CIMMYTMA-003237,1959-07-03,8,6,14,20.433609,-97.114806,3.41012418851469
G11503,SEEDGWAS162,CIMMYTMA-003239,1959-07-04,8,6,93,20.511547,-97.334715,3.5612452210321
G11505,SEEDGWAS1885,CIMMYTMA-003241,1959-07-04,8,6,56,20.566064,-97.181289,3.55718411690272
G11506,SEEDGWAS163,CIMMYTMA-003242,1959-07-04,8,6,58,20.5422222,-97.27305556,3.56688963524525
G11510,SEEDGWAS164,CIMMYTMA-003245,1959-07-04,8,6,206,20.471501,-97.343051,3.52743212650222
G11549,SEEDGWAS167,CIMMYTMA-003253,1959-07-06,7,5,42,20.910099,-97.762003,4.0994032379755
G11553,SEEDGWAS4883,CIMMYTMA-003254,1959-07-06,7,5,42,20.910099,-97.762003,4.0994032379755
G11553,SEEDGWAS1887,CIMMYTMA-003254,1959-07-06,7,5,42,20.910099,-97.762003,4.0994032379755
G11558,SEEDGWAS168,CIMMYTMA-003256,1959-07-06,7,5,27,20.893005,-97.675796,4.04720793839568
G11560,SEEDGWAS780,CIMMYTMA-003258,1959-07-07,7,5,26,20.96666667,-97.53333333,4.05770853413601
G11578,SEEDGWAS169,CIMMYTMA-003259,1959-07-07,7,5,324,21.15,-97.85,4.35379767304108
G11618,SEEDGWAS170,CIMMYTMA-003261,1959-07-07,7,5,76,21.38333333,-97.83333333,4.55890442173948
G11628,SEEDGWAS171,CIMMYTMA-003263,1959-07-07,7,5,22,21.28333333,-97.51666667,4.34613474056101
G11629,SEEDGWAS1303,CIMMYTMA-003264,1959-07-08,7,5,97,21.320028,-97.699529,4.44779723084776
G11630,SEEDGWAS172,CIMMYTMA-003267,1959-07-08,7,5,325,21.15,-97.85,4.35379767304108
G11635,SEEDGWAS173,CIMMYTMA-003268,1959-07-09,7,5,125,21.35,-97.71666667,4.48206283985897
